subject_id	one	two	tbi	B	C	B/(2A+B+C)	C/(2A+B+C)	D=(B+C)/(2A+B+C)	Change
5001	0	14	0.315436241610738	28	66	0.0939597315436242	0.221476510067114	0.315436241610738	+  
5002	0	14	0.298876404494382	89	44	0.2	0.098876404494382	0.298876404494382	-  
5003	0	14	0.19620253164557	13	49	0.0411392405063291	0.15506329113924	0.19620253164557	+  
5004	0	14	0.246835443037975	38	40	0.120253164556962	0.126582278481013	0.246835443037975	+  
5005	0	14	0.240847784200385	74	51	0.142581888246628	0.0982658959537572	0.240847784200385	-  
5006	0	14	0.379310344827586	64	90	0.157635467980296	0.221674876847291	0.379310344827586	+  
5001	14	30	0.244565217391304	29	61	0.078804347826087	0.165760869565217	0.244565217391304	+  
5002	14	30	0.32579185520362	51	93	0.115384615384615	0.210407239819005	0.32579185520362	+  
5003	14	30	0.22093023255814	42	34	0.122093023255814	0.0988372093023256	0.22093023255814	-  
5004	14	30	0.292682926829268	43	53	0.13109756097561	0.161585365853659	0.292682926829268	+  
5005	14	30	0.334579439252336	70	109	0.130841121495327	0.203738317757009	0.334579439252336	+  
5006	14	30	0.328671328671329	72	69	0.167832167832168	0.160839160839161	0.328671328671329	-  
5001	30	90	0.32972972972973	76	46	0.205405405405405	0.124324324324324	0.32972972972973	-  
5002	30	90	0.447897623400366	91	154	0.16636197440585	0.281535648994516	0.447897623400366	+  
5003	30	90	0.290123456790123	53	41	0.16358024691358	0.126543209876543	0.290123456790123	-  
5004	30	90	0.272222222222222	38	60	0.105555555555556	0.166666666666667	0.272222222222222	+  
5005	30	90	0.384313725490196	130	66	0.254901960784314	0.129411764705882	0.384313725490196	-  
5006	30	90	0.412322274881517	89	85	0.210900473933649	0.201421800947867	0.412322274881517	-  
5001	90	123	0.298780487804878	55	43	0.167682926829268	0.13109756097561	0.298780487804878	-  
5002	90	123	0.545647558386412	198	59	0.420382165605096	0.125265392781316	0.545647558386412	-  
5003	90	123	0.623003194888179	97	98	0.309904153354633	0.313099041533546	0.623003194888179	+  
5004	90	123	0.531914893617021	92	133	0.217494089834515	0.314420803782506	0.531914893617021	+  
5005	90	123	0.557647058823529	129	108	0.303529411764706	0.254117647058824	0.557647058823529	-  
5006	90	123	0.675531914893617	148	106	0.393617021276596	0.281914893617021	0.675531914893617	-  
5001	123	151	0.2	26	40	0.0787878787878788	0.121212121212121	0.2	+  
5002	123	151	0.322033898305085	26	107	0.062953995157385	0.2590799031477	0.322033898305085	+  
5004	123	151	0.570032573289902	91	84	0.296416938110749	0.273615635179153	0.570032573289902	-  
5005	123	151	0.538083538083538	138	81	0.339066339066339	0.199017199017199	0.538083538083538	-  
5006	123	151	0.561097256857855	114	111	0.28428927680798	0.276807980049875	0.561097256857855	-  
5003	123	151	0.551912568306011	85	117	0.23224043715847	0.319672131147541	0.551912568306011	+  
5001	151	240	0.239583333333333	26	66	0.0677083333333333	0.171875	0.239583333333333	+  
5002	151	240	0.242630385487528	80	27	0.18140589569161	0.0612244897959184	0.242630385487528	-  
5003	151	240	0.291512915129151	54	25	0.199261992619926	0.0922509225092251	0.291512915129151	-  
5004	151	240	0.214953271028037	49	20	0.152647975077882	0.0623052959501558	0.214953271028037	-  
5005	151	240	0.648293963254593	132	115	0.346456692913386	0.301837270341207	0.648293963254593	-  
5006	151	240	0.532219570405728	101	122	0.241050119331742	0.291169451073986	0.532219570405728	+  
5001	240	301	0.494809688581315	139	4	0.480968858131488	0.013840830449827	0.494809688581315	-  
5002	240	301	0.30835734870317	74	33	0.213256484149856	0.0951008645533141	0.30835734870317	-  
5003	240	301	0.335664335664336	26	70	0.0909090909090909	0.244755244755245	0.335664335664336	+  
5004	240	301	0.217391304347826	29	36	0.096989966555184	0.120401337792642	0.217391304347826	+  
5006	240	301	0.676300578034682	126	108	0.364161849710983	0.312138728323699	0.676300578034682	-  
5005	240	301	0.619834710743802	151	74	0.415977961432507	0.203856749311295	0.619834710743802	-  
5001	301	420	0.420168067226891	8	92	0.0336134453781513	0.38655462184874	0.420168067226891	+  
5002	301	420	0.335384615384615	45	64	0.138461538461538	0.196923076923077	0.335384615384615	+  
5003	301	420	0.342960288808664	74	21	0.267148014440433	0.075812274368231	0.342960288808664	-  
5004	301	420	0.228758169934641	35	35	0.11437908496732	0.11437908496732	0.228758169934641	0  
5005	301	420	0.327635327635328	46	69	0.131054131054131	0.196581196581197	0.327635327635328	+  
5006	301	420	0.465909090909091	49	115	0.139204545454545	0.326704545454545	0.465909090909091	+  
5001	420	451	0.263157894736842	42	43	0.130030959752322	0.13312693498452	0.263157894736842	+  
5002	420	451	0.27217125382263	53	36	0.162079510703364	0.110091743119266	0.27217125382263	-  
5003	420	451	0.244274809160305	13	51	0.049618320610687	0.194656488549618	0.244274809160305	+  
5004	420	451	0.204152249134948	38	21	0.131487889273356	0.0726643598615917	0.204152249134948	-  
5005	420	451	0.301408450704225	63	44	0.177464788732394	0.123943661971831	0.301408450704225	-  
5006	420	451	0.341404358353511	73	68	0.176755447941889	0.164648910411622	0.341404358353511	-  
5001	451	480	0.255255255255255	38	47	0.114114114114114	0.141141141141141	0.255255255255255	+  
5002	451	480	0.207920792079208	35	28	0.115511551155116	0.0924092409240924	0.207920792079208	-  
5003	451	480	0.319327731092437	69	7	0.289915966386555	0.0294117647058824	0.319327731092437	-  
5004	451	480	0.201413427561837	23	34	0.0812720848056537	0.120141342756184	0.201413427561837	+  
5005	451	480	0.236263736263736	29	57	0.0796703296703297	0.156593406593407	0.236263736263736	+  
5006	451	480	0.3125	83	27	0.235795454545455	0.0767045454545455	0.3125	-  
5001	480	499	0.239263803680982	47	31	0.144171779141104	0.0950920245398773	0.239263803680982	-  
5002	480	499	0.230769230769231	38	28	0.132867132867133	0.0979020979020979	0.230769230769231	-  
5003	480	499	0.318777292576419	10	63	0.0436681222707424	0.275109170305677	0.318777292576419	+  
5004	480	499	0.140065146579805	15	28	0.0488599348534202	0.0912052117263844	0.140065146579805	+  
5005	480	499	0.304347826086957	68	44	0.184782608695652	0.119565217391304	0.304347826086957	-  
5006	480	499	0.28169014084507	46	34	0.161971830985915	0.119718309859155	0.28169014084507	-  
5001	499	523	0.21763085399449	13	66	0.0358126721763085	0.181818181818182	0.21763085399449	+  
5002	499	523	0.348659003831418	53	38	0.203065134099617	0.145593869731801	0.348659003831418	-  
5003	499	523	0.312056737588652	44	44	0.156028368794326	0.156028368794326	0.312056737588652	0  
5004	499	523	0.207667731629393	36	29	0.115015974440895	0.0926517571884984	0.207667731629393	-  
5005	499	523	0.311764705882353	55	51	0.161764705882353	0.15	0.311764705882353	-  
5006	499	523	0.544554455445545	67	98	0.221122112211221	0.323432343234323	0.544554455445545	+  
5001	523	631	0.328502415458937	69	67	0.166666666666667	0.161835748792271	0.328502415458937	-  
5002	523	631	0.447293447293447	26	131	0.0740740740740741	0.373219373219373	0.447293447293447	+  
5003	523	631	0.315960912052117	36	61	0.117263843648208	0.198697068403909	0.315960912052117	+  
5004	523	631	0.331147540983607	51	50	0.167213114754098	0.163934426229508	0.331147540983607	-  
5005	523	631	0.309090909090909	35	84	0.0909090909090909	0.218181818181818	0.309090909090909	+  
5001	631	715	0.545918367346939	117	97	0.298469387755102	0.247448979591837	0.545918367346939	-  
5002	631	715	0.573264781491003	145	78	0.372750642673522	0.200514138817481	0.573264781491003	-  
5003	631	715	0.625766871165644	105	99	0.322085889570552	0.303680981595092	0.625766871165644	-  
5004	631	715	0.560830860534125	78	111	0.231454005934718	0.329376854599407	0.560830860534125	+  
5005	631	715	0.475138121546961	122	50	0.337016574585635	0.138121546961326	0.475138121546961	-  
